구장명,주소
동탄이든 야외장,경기도 화성시 동탄기흥로 247번길 8 4층
화성E1 풋볼클럽,경기도 화성시 봉담읍 동산재길 3-10
부천 겟잇 스포츠 실내장(웅진플레이점),경기도 부천시 조마루로2 2층(웅진플레이도시)
부천 겟잇 스포츠 야외장(웅진플레이점),경기도 부천시 조마루로2 2층(웅진플레이도시)
준타스 아레나 남양주3구장(현대아울렛 H7파크),경기도 남양주시 다산동 6141 현대프리미엄아울렛 A동 4층
남양주 한사랑 실내장,경기도 남양주시 강변북로651번길 8-7 (수석동)
C-PAK(씨팍) 장,경기도 고양시 덕양구 성사동 556-6
용인 이우성 파크,경기도 용인시 처인구 모현읍 오산로45-23
김포 싸커코어 장 1구장,경기도 김포시 금포로 1117-20 3층
TBS 도봉산 장(양주CITY FC) 1구장,경기도 양주시 광사동 529번지
TBS 도봉산 장(양주CITY FC) 3구장,경기도 양주시 광사동 529번지
TBS 도봉산 장(양주CITY FC) 4구장,경기도 양주시 광사동 529번지
TBS 도봉산 장(양주CITY FC) 5구장,경기도 양주시 광사동 529번지
용인 유림장 1구장,경기도 용인시 한터로58번길 29
용인 유림장 2구장,경기도 용인시 한터로58번길 29
메이저 풋볼스킬 2호점 야외구장,경기도 용인시 처인구 모현읍 능원리 311
하남CITY FC 장,경기도 하남시 미사강변동로127 경서타워 7층
안양 아레나 야외장 2구장,경기도 의왕시 학의동 340-104
봉담 GF 야외장,경기도 화성시 봉담읍 동화리 287-1
지곡 블루버드 실내장,경기도 용인시 기흥구 지곡동 600-1
동탄 이두철 축구클럽 야외구장,경기도 오산시 외삼미로 46
동탄 이두철 축구클럽 실내 그린구장,경기도 오산시 외삼미로 46
동탄 이두철 축구클럽 실내 오렌지구장,경기도 오산시 외삼미로 46
판교 다산 야외장,경기도 성남시 분당구 삼평동 676 옥상층
수지 WON 실내장 1구장,경기도 용인시 수지구 동천동 411 준프라자 3층
수지 WON 실내장 2구장,경기도 용인시 수지구 동천동 411 준프라자 3층
고촌 태리 야외장,경기도 김포시 고촌읍 태리 955-3
공존파크 양주점 B면,경기도 양주시 고읍동 176-10
공존파크 양주점 C면,경기도 양주시 고읍동 176-10
시흥 플랑드르 파크 B면,경기도 시흥시 능곡동 235-1 시흥플랑드르 5층
평택 핏그라운드 장 야외B구장,경기도 평택시 독곡동 25
평택 핏그라운드 장 실내구장,경기도 평택시 독곡동 25
남양주 힐링사커 아레나 야외장,경기도 남양주시 오남읍 양지리 549-1
광명 로꼬스타디움 실내구장,경기도 광명시 일직로 17 6층 광명 롯데몰
화성파크 야외 B구장,경기도 화성시 향남읍 하길리 616
용인 남곡유나이티드 실내장,경기도 용인시 처인구 남사읍 산정로 51-24
김포 PnC 파크 B구장,경기도 김포시 양촌읍 구래리 681-34
김포 PnC 파크 C구장,경기도 김포시 양촌읍 구래리 681-34
김포 퍼스트 실내장,경기도 김포시 양촌읍 김포한강4로 278번길 31
경기광주 US파크 B구장,경기도 광주시 남한산성면 엄미리 50-2
안양 SNFC 야외장 B면,경기도 안양시 만안구 안양로329번길 107 옥상층
신안산파크 B면,경기도 안산시 단원구 신안산대학로 135
신안산파크 C면,경기도 안산시 단원구 신안산대학로 135
신안산파크 D면,경기도 안산시 단원구 신안산대학로 135
양주 제이축구아카데미 야외장 B면,경기도 양주시 평화로 1181
양주 제이축구아카데미 야외장 C면,경기도 양주시 평화로 1181
신안산파크 축구A+B면,경기도 안산시 단원구 신안산대학로 135
